cpf,hora,data,produto,preço,quantidade,pdv,operadora,operação,total
064.379.815-39,09:16,21/07/2023,Morango,7.5,1,13,Maria Luiza,cartão_credito,7.5
123.407.685-35,20:10,17/07/2023,Cerveja,7.5,9,11,Ana,pix,67.5
269.731.504-70,15:14,19/07/2023,Ovos,18.2,10,1,Natália,cartão_credito,182.0
890.234.517-32,19:19,26/07/2023,Picanha,50.4,10,21,Maria Cecília,cartão_credito,504.0
047.853.961-48,14:11,27/07/2023,Cafe,9.5,3,20,Milena,pix,28.5
157.296.043-43,17:33,03/07/2023,Detergente liquido,2.5,2,4,Milena,cartão_credito,5.0
198.250.437-41,13:28,26/07/2023,Refrigerante lata,4.7,2,7,Ana,dinheiro,9.4
419.720.853-79,21:01,16/07/2023,Vinho,17.7,10,15,Natália,pix,177.0
604.938.712-50,21:27,23/07/2023,Esponja de aço,5.5,3,3,Ana,cartão_credito,16.5
468.307.129-04,16:07,16/07/2023,Farinha,2.7,2,16,Isadora,pix,5.4
519.734.206-43,17:22,11/07/2023,Açúcar,25.5,5,12,Milena,cartão_debito,127.5
047.853.961-48,13:49,03/07/2023,Ovos,18.2,7,10,Milena,cartão_credito,127.4
890.234.517-32,21:55,18/07/2023,Açúcar,25.5,6,14,Natália,pix,153.0
906.172.385-02,21:28,09/07/2023,Gelatina,2.4,6,2,Maria Julia,cartão_credito,14.4
629.475.813-00,08:46,19/07/2023,Morango,7.5,7,14,Stephany,cartão_credito,52.5
715.408.269-02,21:07,24/07/2023,Cerveja,7.5,5,9,Natália,cartão_debito,37.5
369.841.052-42,15:15,12/07/2023,Sabonete,3.5,9,10,Maria Cecília,cartão_credito,31.5
207.651.839-86,19:07,01/07/2023,Óleo de cozinha,8.9,5,16,Isadora,cartão_credito,44.5
768.023.591-03,20:06,21/07/2023,Cenoura,7.1,4,10,Brenda,pix,28.4
436.891.750-20,15:58,16/07/2023,Açúcar,25.5,8,11,Stephany,cartão_credito,204.0
791.230.458-41,14:55,13/07/2023,Ovos,18.2,7,19,Natália,cartão_debito,127.4
758.210.493-50,09:57,19/07/2023,Picanha,50.4,3,17,Maria Luiza,cartão_debito,151.2
529.834.061-05,21:48,23/07/2023,Alcatra,45.7,3,1,Caroline,pix,137.1
254.193.867-55,15:17,03/07/2023,Picanha,50.4,4,4,Maria Luiza,cartão_debito,201.6
645.312.987-64,13:11,07/07/2023,Escova dental,15.5,7,7,Isadora,cartão_credito,108.5
614.297.038-22,15:40,06/07/2023,Sabonete,3.5,2,10,Natália,cartão_credito,7.0
483.261.759-19,14:09,15/07/2023,Sal,2.3,2,18,Caroline,pix,4.6
846.732.951-37,21:46,26/07/2023,Arroz,21.7,10,13,Brenda,cartão_credito,217.0
803.615.947-39,19:36,22/07/2023,Cenoura,7.1,8,14,Maria Luiza,pix,56.8
436.891.750-20,21:58,26/07/2023,Cenoura,7.1,7,11,Ana,cartão_credito,49.7
604.938.712-50,14:50,09/07/2023,Refrigerante lata,4.7,7,9,Maria Cecília,dinheiro,32.9
468.307.129-04,21:30,18/07/2023,Arroz,21.7,4,20,Ana,pix,86.8
762.945.831-28,14:10,09/07/2023,Cenoura,7.1,2,19,Milena,cartão_credito,14.2
036.821.497-40,14:51,18/07/2023,Detergente liquido,2.5,10,20,Maria Cecília,pix,25.0
901.765.842-85,14:01,21/07/2023,Cafe,9.5,10,12,Maria Julia,pix,95.0
798.213.065-86,11:37,11/07/2023,Feijão,15.5,9,11,Maria Cecília,dinheiro,139.5
102.358.947-88,16:07,28/07/2023,Tomate,8.2,7,12,Stephany,cartão_credito,57.4
675.430.128-71,10:22,02/07/2023,Óleo de cozinha,8.9,2,16,Caroline,pix,17.8
041.639.752-25,17:43,24/07/2023,Arroz,21.7,6,7,Caroline,cartão_credito,130.2
901.648.527-94,09:58,04/07/2023,Cafe,9.5,5,12,Natália,dinheiro,47.5
864.279.053-92,15:23,12/07/2023,Vinho,17.7,2,3,Maria Julia,pix,35.4
982.546.103-98,21:53,13/07/2023,Cenoura,7.1,9,21,Isadora,cartão_debito,63.9
719.628.034-22,15:36,20/07/2023,Cafe,9.5,1,7,Stephany,dinheiro,9.5
863.125.974-82,14:03,17/07/2023,Cerveja,7.5,6,6,Ana,cartão_debito,45.0
845.607.391-10,08:51,30/07/2023,Feijão,15.5,2,5,Natália,pix,31.0
426.301.598-33,18:30,23/07/2023,Farinha,2.7,10,2,Maria Cecília,cartão_debito,27.0
906.172.385-02,08:01,15/07/2023,Refrigerante lata,4.7,10,7,Ana,dinheiro,47.0
301.698.547-01,20:24,01/07/2023,Cenoura,7.1,9,11,Natália,cartão_debito,63.9
531.480.729-79,09:52,15/07/2023,Picanha,50.4,6,16,Isadora,cartão_debito,302.4
752.631.049-52,17:59,04/07/2023,Sal,2.3,7,15,Natália,pix,16.1
901.765.842-85,10:43,01/07/2023,Cafe,9.5,9,8,Brenda,dinheiro,85.5
521.364.079-61,13:53,18/07/2023,Sabonete,3.5,5,2,Stephany,cartão_debito,17.5
768.023.591-03,12:16,16/07/2023,Cafe,9.5,6,8,Brenda,dinheiro,57.0
652.378.904-74,18:52,02/07/2023,Linguiça frango,9.7,9,20,Maria Cecília,cartão_debito,87.3
269.731.504-70,12:55,03/07/2023,Esponja de aço,5.5,6,3,Brenda,dinheiro,33.0
910.853.267-21,16:50,22/07/2023,Esponja de aço,5.5,10,20,Maria Cecília,cartão_debito,55.0
715.408.269-02,14:18,23/07/2023,Cafe,9.5,4,17,Natália,cartão_debito,38.0
791.230.458-41,14:47,28/07/2023,Gelatina,2.4,9,8,Brenda,cartão_credito,21.6
418.907.352-05,22:41,13/07/2023,Refrigerante lata,4.7,1,15,Maria Luiza,dinheiro,4.7
982.546.103-98,16:30,17/07/2023,Morango,7.5,1,7,Stephany,cartão_debito,7.5
593.641.287-37,20:02,10/07/2023,Ovos,18.2,8,12,Natália,cartão_credito,145.6
864.279.053-92,09:44,28/07/2023,Vinho,17.7,1,12,Maria Cecília,cartão_credito,17.7
064.379.815-39,09:01,04/07/2023,File de frango,19.2,1,3,Caroline,cartão_credito,19.2
269.731.504-70,09:31,25/07/2023,File de frango,19.2,3,20,Natália,dinheiro,57.6
803.615.947-39,09:05,25/07/2023,Esponja de aço,5.5,7,17,Maria Luiza,cartão_debito,38.5
436.891.750-20,17:22,01/07/2023,Feijão,15.5,2,12,Natália,pix,31.0
853.164.790-84,14:14,05/07/2023,Sabonete,3.5,6,2,Stephany,pix,21.0
805.614.923-60,15:07,14/07/2023,Linguiça frango,9.7,9,19,Brenda,cartão_debito,87.3
624.705.981-76,11:09,12/07/2023,Linguiça frango,9.7,5,20,Milena,pix,48.5
263.179.804-03,14:39,26/07/2023,Escova dental,15.5,4,4,Maria Cecília,cartão_credito,62.0
758.210.493-50,09:48,28/07/2023,Tomate,8.2,2,2,Isadora,pix,16.4
785.146.023-90,15:47,07/07/2023,Tomate,8.2,6,20,Maria Luiza,pix,49.2
624.705.981-76,15:48,26/07/2023,File de frango,19.2,1,21,Natália,cartão_debito,19.2
645.312.987-64,13:22,20/07/2023,Farinha,2.7,6,17,Isadora,pix,16.2
864.279.053-92,13:19,28/07/2023,File de frango,19.2,1,14,Brenda,cartão_debito,19.2
846.732.951-37,10:59,06/07/2023,Cerveja,7.5,2,4,Ana,pix,15.0
805.473.962-10,15:22,06/07/2023,Cerveja,7.5,6,4,Caroline,pix,45.0
853.164.790-84,11:55,07/07/2023,Refrigerante lata,4.7,8,5,Maria Cecília,dinheiro,37.6
604.938.712-50,18:00,15/07/2023,Óleo de cozinha,8.9,2,1,Ana,dinheiro,17.8
436.891.750-20,10:12,03/07/2023,Farinha,2.7,1,6,Maria Luiza,pix,2.7
130.294.586-60,10:16,22/07/2023,Cafe,9.5,3,11,Brenda,cartão_debito,28.5
531.480.729-79,17:07,02/07/2023,Açúcar,25.5,2,15,Caroline,dinheiro,51.0
675.430.128-71,21:38,17/07/2023,Feijão,15.5,8,2,Maria Luiza,pix,124.0
719.628.034-22,15:18,08/07/2023,Gelatina,2.4,10,4,Milena,dinheiro,24.0
718.296.305-12,16:45,15/07/2023,Sabonete,3.5,2,14,Isadora,cartão_credito,7.0
758.210.493-50,09:02,26/07/2023,Morango,7.5,10,17,Natália,cartão_credito,75.0
864.279.053-92,12:09,11/07/2023,Alcatra,45.7,1,11,Maria Julia,pix,45.7
921.543.870-04,21:38,01/07/2023,Sal,2.3,1,8,Isadora,pix,2.3
073.241.958-14,20:00,25/07/2023,Alcatra,45.7,10,21,Milena,cartão_credito,457.0
462.179.385-37,20:28,16/07/2023,Arroz,21.7,9,19,Brenda,cartão_credito,195.3
702.431.958-50,14:22,29/07/2023,Linguiça frango,9.7,3,15,Maria Cecília,cartão_credito,29.1
906.172.385-02,09:45,11/07/2023,Açúcar,25.5,1,19,Maria Julia,dinheiro,25.5
109.783.654-10,21:34,21/07/2023,Feijão,15.5,5,3,Natália,dinheiro,77.5
768.023.591-03,17:26,15/07/2023,Sal,2.3,8,14,Caroline,cartão_credito,18.4
803.615.947-39,13:54,16/07/2023,Feijão,15.5,9,7,Maria Julia,cartão_credito,139.5
041.639.752-25,20:37,08/07/2023,Detergente liquido,2.5,9,4,Natália,pix,22.5
752.631.049-52,09:24,14/07/2023,Refrigerante lata,4.7,4,21,Milena,cartão_credito,18.8
614.297.038-22,10:54,22/07/2023,Morango,7.5,4,19,Maria Luiza,cartão_credito,30.0
604.938.712-50,13:35,14/07/2023,Cerveja,7.5,10,11,Natália,cartão_debito,75.0
695.281.740-94,17:56,10/07/2023,File de frango,19.2,7,8,Milena,pix,134.4
069.738.451-93,17:49,25/07/2023,Picanha,50.4,3,13,Natália,cartão_credito,151.2
036.821.497-40,15:21,04/07/2023,Feijão,15.5,6,20,Natália,cartão_debito,93.0
157.296.043-43,11:57,24/07/2023,Cerveja,7.5,8,13,Maria Cecília,cartão_debito,60.0
629.475.813-00,21:36,20/07/2023,Refrigerante lata,4.7,4,15,Maria Luiza,cartão_credito,18.8
065.138.274-26,09:22,04/07/2023,Cerveja,7.5,6,1,Isadora,cartão_debito,45.0
810.295.463-98,08:49,09/07/2023,Feijão,15.5,2,21,Maria Julia,pix,31.0
546.078.231-71,22:49,08/07/2023,Arroz,21.7,9,19,Maria Julia,cartão_debito,195.3
652.378.904-74,20:12,05/07/2023,Esponja de aço,5.5,3,14,Milena,cartão_debito,16.5
261.850.473-90,13:03,15/07/2023,Açúcar,25.5,10,2,Stephany,cartão_credito,255.0
752.631.049-52,21:07,09/07/2023,Açúcar,25.5,5,20,Caroline,pix,127.5
762.945.831-28,17:30,15/07/2023,Picanha,50.4,7,6,Maria Luiza,pix,352.8
840.617.235-53,14:12,10/07/2023,Gelatina,2.4,1,7,Maria Luiza,cartão_credito,2.4
064.379.815-39,10:13,30/07/2023,Tomate,8.2,3,20,Maria Cecília,cartão_debito,24.6
738.596.420-65,17:08,08/07/2023,Cafe,9.5,7,10,Isadora,cartão_credito,66.5
863.125.974-82,13:30,05/07/2023,Sabonete,3.5,7,15,Natália,cartão_credito,24.5
036.821.497-40,08:00,13/07/2023,Arroz,21.7,10,10,Caroline,dinheiro,217.0
329.801.564-42,14:41,24/07/2023,File de frango,19.2,10,6,Caroline,pix,192.0
215.873.490-60,11:22,19/07/2023,File de frango,19.2,3,18,Stephany,pix,57.6
640.825.931-60,13:16,06/07/2023,Vinho,17.7,1,17,Natália,dinheiro,17.7
418.907.352-05,16:11,26/07/2023,Vinho,17.7,10,11,Isadora,cartão_credito,177.0
805.614.923-60,17:12,13/07/2023,Escova dental,15.5,6,20,Milena,pix,93.0
732.650.914-06,15:00,21/07/2023,Morango,7.5,7,8,Maria Cecília,dinheiro,52.5
468.307.129-04,08:39,04/07/2023,Tomate,8.2,9,14,Maria Julia,cartão_credito,73.8
840.617.235-53,14:12,20/07/2023,Feijão,15.5,2,3,Natália,dinheiro,31.0
419.720.853-79,17:47,28/07/2023,Arroz,21.7,3,16,Ana,cartão_debito,65.1
531.480.729-79,13:55,12/07/2023,Esponja de aço,5.5,5,18,Ana,cartão_debito,27.5
901.648.527-94,19:58,04/07/2023,Sal,2.3,6,5,Maria Luiza,cartão_credito,13.8
329.801.564-42,19:56,10/07/2023,File de frango,19.2,7,14,Maria Julia,dinheiro,134.4
483.657.209-65,21:43,16/07/2023,Feijão,15.5,5,9,Natália,pix,77.5
295.073.846-00,11:31,05/07/2023,Cafe,9.5,9,11,Ana,dinheiro,85.5
805.473.962-10,19:29,01/07/2023,Linguiça frango,9.7,10,3,Maria Luiza,cartão_credito,97.0
827.963.014-78,13:27,22/07/2023,Tomate,8.2,8,5,Natália,cartão_debito,65.6
702.431.958-50,15:13,10/07/2023,Gelatina,2.4,10,8,Isadora,cartão_debito,24.0
798.213.065-86,21:14,20/07/2023,Açúcar,25.5,5,4,Caroline,dinheiro,127.5
805.473.962-10,15:09,16/07/2023,Cenoura,7.1,6,6,Ana,pix,42.6
295.073.846-00,12:23,04/07/2023,Cerveja,7.5,10,8,Brenda,pix,75.0
138.456.920-06,22:54,10/07/2023,Sal,2.3,9,8,Maria Luiza,cartão_debito,20.7
130.294.586-60,16:17,01/07/2023,Cenoura,7.1,6,14,Maria Cecília,pix,42.6
047.853.961-48,14:48,08/07/2023,Detergente liquido,2.5,2,16,Ana,dinheiro,5.0
784.956.031-01,08:38,02/07/2023,Detergente liquido,2.5,2,12,Natália,cartão_debito,5.0
802.613.579-21,12:47,20/07/2023,Alcatra,45.7,3,7,Milena,cartão_debito,137.1
863.125.974-82,11:13,13/07/2023,Óleo de cozinha,8.9,5,2,Brenda,pix,44.5
827.963.014-78,11:42,25/07/2023,Escova dental,15.5,9,16,Caroline,cartão_debito,139.5
047.853.961-48,12:30,01/07/2023,Tomate,8.2,8,7,Natália,cartão_debito,65.6
263.179.804-03,18:02,30/07/2023,Alcatra,45.7,2,4,Natália,pix,91.4
963.128.074-87,19:44,02/07/2023,Esponja de aço,5.5,6,1,Stephany,cartão_credito,33.0
048.196.375-84,21:43,29/07/2023,Picanha,50.4,5,16,Caroline,pix,252.0
483.261.759-19,16:16,06/07/2023,Sal,2.3,10,21,Milena,pix,23.0
369.841.052-42,19:47,28/07/2023,Vinho,17.7,10,9,Isadora,cartão_debito,177.0
041.639.752-25,10:33,17/07/2023,Açúcar,25.5,10,7,Maria Luiza,cartão_credito,255.0
652.378.904-74,21:19,20/07/2023,Gelatina,2.4,8,2,Maria Julia,cartão_credito,19.2
738.596.420-65,16:11,03/07/2023,Óleo de cozinha,8.9,5,1,Maria Cecília,cartão_debito,44.5
901.765.842-85,18:41,27/07/2023,Ovos,18.2,1,7,Isadora,cartão_debito,18.2
629.475.813-00,17:36,27/07/2023,Picanha,50.4,2,19,Stephany,cartão_credito,100.8
785.146.023-90,10:09,26/07/2023,Esponja de aço,5.5,5,20,Milena,cartão_debito,27.5
910.853.267-21,11:24,10/07/2023,Açúcar,25.5,3,19,Milena,cartão_credito,76.5
215.873.490-60,10:34,24/07/2023,Ovos,18.2,10,4,Maria Cecília,pix,182.0
863.125.974-82,15:11,10/07/2023,Escova dental,15.5,9,9,Caroline,dinheiro,139.5
695.281.740-94,16:57,27/07/2023,Detergente liquido,2.5,6,3,Caroline,pix,15.0
675.430.128-71,14:33,28/07/2023,Refrigerante lata,4.7,6,20,Milena,cartão_credito,28.2
910.853.267-21,09:02,09/07/2023,Arroz,21.7,9,17,Isadora,pix,195.3
329.801.564-42,16:29,04/07/2023,Escova dental,15.5,9,20,Brenda,pix,139.5
034.278.591-50,19:08,08/07/2023,Cenoura,7.1,3,1,Maria Luiza,dinheiro,21.3
943.102.856-51,16:06,27/07/2023,Tomate,8.2,10,18,Brenda,cartão_debito,82.0
860.357.192-95,17:51,16/07/2023,Cenoura,7.1,4,2,Maria Luiza,cartão_credito,28.4
963.128.074-87,16:26,23/07/2023,Vinho,17.7,6,1,Maria Julia,dinheiro,106.2
702.431.958-50,08:17,23/07/2023,Cerveja,7.5,7,2,Stephany,pix,52.5
483.657.209-65,08:34,04/07/2023,Açúcar,25.5,6,5,Maria Luiza,pix,153.0
154.293.076-61,13:00,21/07/2023,Refrigerante lata,4.7,2,17,Maria Cecília,cartão_debito,9.4
715.408.269-02,17:21,05/07/2023,Feijão,15.5,5,1,Brenda,cartão_debito,77.5
805.473.962-10,11:23,21/07/2023,Cenoura,7.1,10,20,Maria Julia,pix,71.0
901.765.842-85,08:29,21/07/2023,Linguiça frango,9.7,2,14,Caroline,cartão_debito,19.4
798.213.065-86,08:56,08/07/2023,Esponja de aço,5.5,9,3,Maria Luiza,cartão_debito,49.5
130.294.586-60,08:11,13/07/2023,Cafe,9.5,7,14,Maria Luiza,cartão_credito,66.5
096.785.421-02,20:53,08/07/2023,Linguiça frango,9.7,2,2,Ana,cartão_credito,19.4
846.732.951-37,13:11,13/07/2023,Cafe,9.5,10,14,Maria Luiza,cartão_debito,95.0
329.801.564-42,21:04,25/07/2023,Esponja de aço,5.5,1,7,Milena,cartão_credito,5.5
483.261.759-19,13:58,04/07/2023,Linguiça frango,9.7,5,9,Brenda,cartão_debito,48.5
519.734.206-43,18:58,07/07/2023,Gelatina,2.4,7,14,Isadora,cartão_debito,16.8
738.596.420-65,10:03,19/07/2023,File de frango,19.2,1,7,Maria Julia,pix,19.2
845.607.391-10,15:29,23/07/2023,Tomate,8.2,2,20,Stephany,pix,16.4
546.078.231-71,11:40,15/07/2023,File de frango,19.2,4,6,Maria Luiza,pix,76.8
762.945.831-28,13:32,29/07/2023,Detergente liquido,2.5,6,9,Stephany,cartão_credito,15.0
483.261.759-19,20:05,18/07/2023,Farinha,2.7,8,15,Isadora,pix,21.6
791.230.458-41,21:56,10/07/2023,Sal,2.3,5,11,Brenda,dinheiro,11.5
803.615.947-39,17:37,29/07/2023,Feijão,15.5,3,5,Maria Luiza,dinheiro,46.5
762.945.831-28,19:07,05/07/2023,Morango,7.5,10,13,Maria Luiza,pix,75.0
157.296.043-43,21:29,05/07/2023,Gelatina,2.4,8,19,Maria Cecília,pix,19.2
910.853.267-21,20:00,29/07/2023,Sabonete,3.5,2,13,Maria Luiza,cartão_debito,7.0
982.546.103-98,17:44,30/07/2023,Cenoura,7.1,9,11,Maria Julia,pix,63.9
863.125.974-82,13:11,19/07/2023,Feijão,15.5,3,17,Caroline,cartão_credito,46.5
295.073.846-00,16:59,05/07/2023,Refrigerante lata,4.7,1,15,Natália,pix,4.7
034.278.591-50,18:45,11/07/2023,Cafe,9.5,4,6,Natália,cartão_debito,38.0
064.379.815-39,12:48,08/07/2023,Refrigerante lata,4.7,7,17,Maria Cecília,cartão_debito,32.9
369.841.052-42,10:49,24/07/2023,Refrigerante lata,4.7,5,17,Natália,dinheiro,23.5
640.825.931-60,13:30,05/07/2023,Linguiça frango,9.7,9,7,Maria Luiza,pix,87.3
864.279.053-92,16:24,30/07/2023,Cenoura,7.1,8,2,Ana,cartão_debito,56.8
689.231.745-64,19:41,16/07/2023,Arroz,21.7,7,5,Natália,dinheiro,151.9
802.613.579-21,18:12,04/07/2023,Óleo de cozinha,8.9,9,10,Stephany,cartão_debito,80.1
614.297.038-22,20:37,11/07/2023,Farinha,2.7,2,18,Natália,cartão_credito,5.4
901.648.527-94,22:10,05/07/2023,Cerveja,7.5,2,2,Natália,cartão_credito,15.0
138.456.920-06,11:27,11/07/2023,Tomate,8.2,10,5,Maria Cecília,cartão_debito,82.0
048.196.375-84,13:42,01/07/2023,Ovos,18.2,10,17,Caroline,cartão_debito,182.0
123.407.685-35,17:52,15/07/2023,Sal,2.3,2,16,Milena,dinheiro,4.6
215.873.490-60,21:59,29/07/2023,Farinha,2.7,5,13,Natália,pix,13.5
624.705.981-76,18:29,10/07/2023,Linguiça frango,9.7,1,1,Maria Julia,cartão_credito,9.7
546.078.231-71,14:36,29/07/2023,Alcatra,45.7,3,7,Maria Julia,cartão_credito,137.1
295.073.846-00,17:52,09/07/2023,Açúcar,25.5,4,17,Brenda,dinheiro,102.0
860.357.192-95,10:50,18/07/2023,Cerveja,7.5,9,18,Isadora,cartão_credito,67.5
824.170.965-01,13:58,16/07/2023,Sabonete,3.5,10,19,Natália,cartão_credito,35.0
943.102.856-51,21:22,30/07/2023,Linguiça frango,9.7,3,9,Brenda,cartão_credito,29.1
519.734.206-43,18:07,03/07/2023,Picanha,50.4,8,6,Caroline,dinheiro,403.2
823.570.469-29,08:22,09/07/2023,Açúcar,25.5,9,11,Brenda,cartão_credito,229.5
910.853.267-21,10:18,17/07/2023,Esponja de aço,5.5,4,7,Milena,cartão_debito,22.0
768.023.591-03,13:20,26/07/2023,Gelatina,2.4,2,21,Caroline,dinheiro,4.8
102.358.947-88,13:13,07/07/2023,Escova dental,15.5,9,14,Natália,pix,139.5
719.628.034-22,18:27,19/07/2023,Arroz,21.7,2,1,Natália,cartão_credito,43.4
718.296.305-12,14:15,30/07/2023,Picanha,50.4,4,1,Brenda,cartão_debito,201.6
824.170.965-01,20:17,07/07/2023,Cafe,9.5,3,3,Natália,cartão_credito,28.5
519.734.206-43,20:27,01/07/2023,Sal,2.3,7,14,Maria Luiza,cartão_debito,16.1
207.651.839-86,22:38,01/07/2023,Cafe,9.5,2,1,Stephany,dinheiro,19.0
864.279.053-92,21:20,06/07/2023,Cenoura,7.1,1,8,Maria Luiza,dinheiro,7.1
732.650.914-06,09:32,30/07/2023,Açúcar,25.5,6,18,Stephany,cartão_credito,153.0
073.241.958-14,16:12,30/07/2023,Farinha,2.7,3,21,Natália,pix,8.1
846.732.951-37,19:52,28/07/2023,Cenoura,7.1,1,11,Caroline,cartão_credito,7.1
065.138.274-26,21:06,05/07/2023,Cenoura,7.1,8,11,Maria Julia,dinheiro,56.8
732.650.914-06,17:24,19/07/2023,Açúcar,25.5,1,9,Maria Cecília,pix,25.5
980.267.513-02,18:50,28/07/2023,Detergente liquido,2.5,10,7,Caroline,pix,25.0
269.731.504-70,09:55,08/07/2023,Gelatina,2.4,10,10,Caroline,cartão_credito,24.0
519.734.206-43,12:21,13/07/2023,Linguiça frango,9.7,6,2,Stephany,cartão_debito,58.2
827.963.014-78,14:53,21/07/2023,Sal,2.3,6,9,Stephany,dinheiro,13.8
269.731.504-70,22:45,17/07/2023,Cerveja,7.5,4,19,Ana,dinheiro,30.0
064.379.815-39,10:23,20/07/2023,Cafe,9.5,7,18,Maria Luiza,cartão_credito,66.5
215.873.490-60,12:06,08/07/2023,Sabonete,3.5,9,19,Milena,cartão_debito,31.5
329.801.564-42,10:08,30/07/2023,Esponja de aço,5.5,5,21,Maria Cecília,pix,27.5
827.963.014-78,19:24,01/07/2023,Sabonete,3.5,9,20,Maria Luiza,dinheiro,31.5
640.825.931-60,14:14,03/07/2023,Vinho,17.7,5,9,Brenda,dinheiro,88.5
154.293.076-61,13:09,15/07/2023,Refrigerante lata,4.7,3,15,Brenda,cartão_credito,14.1
798.213.065-86,08:56,12/07/2023,Óleo de cozinha,8.9,6,17,Stephany,cartão_debito,53.4
863.125.974-82,15:18,22/07/2023,Morango,7.5,5,12,Natália,pix,37.5
901.765.842-85,19:18,28/07/2023,File de frango,19.2,1,21,Stephany,cartão_debito,19.2
752.631.049-52,22:01,25/07/2023,Açúcar,25.5,5,10,Maria Cecília,cartão_credito,127.5
360.478.219-87,18:14,07/07/2023,Óleo de cozinha,8.9,1,1,Caroline,pix,8.9
752.631.049-52,19:52,23/07/2023,Linguiça frango,9.7,6,6,Natália,pix,58.2
418.907.352-05,19:38,09/07/2023,Cerveja,7.5,9,2,Natália,cartão_credito,67.5
845.607.391-10,17:11,15/07/2023,Tomate,8.2,7,19,Milena,cartão_debito,57.4
426.301.598-33,12:20,18/07/2023,Cerveja,7.5,4,21,Natália,cartão_debito,30.0
329.801.564-42,21:42,02/07/2023,Óleo de cozinha,8.9,4,6,Stephany,pix,35.6
732.650.914-06,16:20,04/07/2023,Óleo de cozinha,8.9,9,5,Milena,pix,80.1
614.297.038-22,13:06,24/07/2023,Vinho,17.7,8,16,Natália,pix,141.6
805.473.962-10,13:44,03/07/2023,Gelatina,2.4,7,7,Brenda,cartão_debito,16.8
041.639.752-25,22:53,05/07/2023,Cenoura,7.1,7,8,Caroline,cartão_credito,49.7
824.170.965-01,10:27,02/07/2023,Açúcar,25.5,2,9,Maria Luiza,cartão_credito,51.0
529.834.061-05,22:51,04/07/2023,Vinho,17.7,4,3,Isadora,cartão_debito,70.8
034.278.591-50,17:25,11/07/2023,Alcatra,45.7,2,21,Maria Luiza,dinheiro,91.4
102.358.947-88,08:24,04/07/2023,File de frango,19.2,9,18,Isadora,cartão_debito,172.8
254.193.867-55,13:21,29/07/2023,Sabonete,3.5,7,20,Isadora,dinheiro,24.5
329.801.564-42,14:57,23/07/2023,Cerveja,7.5,6,20,Brenda,cartão_credito,45.0
419.720.853-79,12:30,30/07/2023,Detergente liquido,2.5,8,4,Natália,cartão_credito,20.0
857.132.409-32,14:20,12/07/2023,Vinho,17.7,7,16,Natália,cartão_credito,123.9
723.510.694-80,21:46,04/07/2023,Cenoura,7.1,9,11,Maria Luiza,pix,63.9
295.073.846-00,19:21,20/07/2023,Açúcar,25.5,2,19,Stephany,dinheiro,51.0
901.648.527-94,11:32,05/07/2023,Farinha,2.7,2,21,Maria Julia,dinheiro,5.4
301.698.547-01,21:04,08/07/2023,Sabonete,3.5,7,14,Brenda,pix,24.5
846.732.951-37,10:47,21/07/2023,Sal,2.3,9,15,Brenda,cartão_credito,20.7
982.546.103-98,12:47,27/07/2023,Detergente liquido,2.5,9,9,Ana,pix,22.5
857.132.409-32,12:16,17/07/2023,File de frango,19.2,7,12,Brenda,dinheiro,134.4
860.357.192-95,21:16,20/07/2023,File de frango,19.2,1,8,Maria Luiza,pix,19.2
921.543.870-04,20:20,30/07/2023,Óleo de cozinha,8.9,4,18,Maria Cecília,cartão_credito,35.6
901.648.527-94,10:31,17/07/2023,File de frango,19.2,8,8,Natália,cartão_credito,153.6
519.734.206-43,15:33,09/07/2023,Sabonete,3.5,9,8,Maria Luiza,pix,31.5
901.648.527-94,12:58,08/07/2023,Morango,7.5,4,21,Maria Cecília,pix,30.0
702.431.958-50,09:52,14/07/2023,Açúcar,25.5,6,14,Natália,pix,153.0
048.196.375-84,19:42,02/07/2023,Vinho,17.7,4,21,Stephany,dinheiro,70.8
901.765.842-85,20:58,13/07/2023,Tomate,8.2,1,7,Maria Cecília,dinheiro,8.2
521.364.079-61,10:01,18/07/2023,File de frango,19.2,5,15,Natália,dinheiro,96.0
901.765.842-85,10:25,12/07/2023,Feijão,15.5,3,19,Brenda,cartão_debito,46.5
823.570.469-29,18:00,04/07/2023,Farinha,2.7,3,15,Isadora,cartão_debito,8.1
047.853.961-48,14:28,26/07/2023,Esponja de aço,5.5,10,15,Stephany,pix,55.0
069.738.451-93,09:55,18/07/2023,Ovos,18.2,5,20,Isadora,pix,91.0
652.378.904-74,08:41,13/07/2023,Tomate,8.2,1,10,Ana,pix,8.2
802.613.579-21,17:37,10/07/2023,Cenoura,7.1,4,8,Stephany,cartão_debito,28.4
261.850.473-90,19:38,15/07/2023,Tomate,8.2,4,4,Milena,dinheiro,32.8
207.651.839-86,22:14,04/07/2023,Cerveja,7.5,5,17,Stephany,pix,37.5
521.364.079-61,10:02,14/07/2023,Refrigerante lata,4.7,10,5,Brenda,dinheiro,47.0
805.473.962-10,22:08,15/07/2023,Açúcar,25.5,2,2,Caroline,cartão_debito,51.0
604.938.712-50,08:36,01/07/2023,Morango,7.5,6,4,Maria Cecília,cartão_credito,45.0
012.875.936-40,16:11,01/07/2023,Detergente liquido,2.5,8,1,Isadora,dinheiro,20.0
984.013.257-14,22:05,04/07/2023,Cafe,9.5,4,10,Maria Julia,cartão_credito,38.0
